"Sr.","Stock Name","Symbol","close","%_change","volume","sector","industry","Add Column"
30,"Mangalam Cement Limited","MANGLMCEM","1,035.2","4.69%","67,186","building materials","cement - north india",""
31,"Renaissance Global Ltd","RGL","156.49","4.68%","7,77,575","consumer discretionary","diamond cutting / jewellery",""
32,"Welspun Living Ltd","WELSPUNLIV","212.25","4.65%","51,53,292","textiles","textiles - products",""
33,"Aegis Vopak Terminals Ltd","AEGISVOPAK","310.7","4.63%","60,87,355","transportation","miscellaneous",""
34,"Bharat Heavy Electricals Limited","BHEL","429.2","4.53%","86,84,564","industrials","electric equipment",""
35,"Prime Focus Limited","PFOCUS","334.95","4.52%","65,93,481","realty","miscellaneous",""
36,"Novartis India Ltd","NOVARTIND","2,082.2","4.34%","1,53,168","healthcare","pharmaceuticals - multinational",""
37,"Kiri Industries Limited","KIRIINDUS","535.45","4.29%","6,34,854","chemicals","dyes and pigments",""
38,"Apar Industries Limited","APARINDS","17,801","4.25%","1,95,609","industrials","electric equipment",""
39,"Solara Active Pharma Sciences Ltd","SOLARA","741.7","4.24%","5,04,562","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
40,"SML Mahindra Ltd","SMLMAH","6,220.5","4.17%","48,450","auto","automobiles - lcvs / hcvs",""
41,"Granules India Limited","GRANULES","870.4","4.16%","9,15,976","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
42,"Man Industries (india) Limited","MANINDS","823","4.14%","10,87,714","metals & mining","steel - medium / small",""
43,"Neogen Chemicals Ltd","NEOGEN","2,395.6","4.05%","6,05,450","chemicals","chemicals",""
44,"Gandhar Oil Refinery (India) Ltd","GANDHAR","269.4","4.04%","6,61,006","energy","refineries",""
45,"Ig Petrochemicals Limited","IGPL","554.55","3.98%","69,270","chemicals","chemicals",""
46,"Windlas Biotech Ltd","WINDLAS","1,117.6","3.96%","1,17,378","healthcare","pharmaceuticals - indian - formulations",""
47,"Manoj Vaibhav Gems N Jewellers Ltd","MVGJL","215.37","3.96%","7,04,297","consumer discretionary","diamond cutting / jewellery",""
48,"Ind-swift Laboratories Limited","INDSWFTLAB","378.25","3.94%","5,45,009","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
49,"Maharashtra Seamless Limited","MAHSEAMLES","720.2","3.93%","4,36,705","metals & mining","steel - medium / small",""
50,"Lumax Auto Technologies Limited","LUMAXTECH","2,018","3.92%","1,53,301","auto","auto ancillaries",""
51,"Talbros Automotive Components Limited","TALBROAUTO","435.2","3.92%","3,60,775","auto","auto ancillaries",""
52,"Tatva Chintan Pharma Chem Ltd","TATVA","1,709.6","3.81%","89,934","chemicals","chemicals",""
53,"Unimech Aerospace and Manufacturing Ltd","UNIMECH","1,570.6","3.62%","2,61,719","aerospace & defence","engineering",""
54,"Shivalik Bimetal Controls Ltd","SBCL","1,091.8","3.29%","2,79,880","metals & mining","mining / minerals / metals",""
55,"Tilaknagar Industries Limited","TI","543.85","3.29%","13,02,970","fmcg","breweries & distilleries",""
56,"Shilpa Medicare Limited","SHILPAMED","958.35","3.26%","8,19,680","healthcare","pharmaceuticals - indian - formulations",""
57,"Nazara Technologies Ltd","NAZARA","362.55","3.25%","12,57,748","i.t","telecommunications - service provider",""
58,"Indegene Ltd","INDGN","591.75","3.24%","2,72,889","healthcare","miscellaneous",""
59,"Uniparts India Ltd","UNIPARTS","878.05","3.16%","81,783","industrials","engineering",""
60,"Rpg Life Sciences Limited","RPGLIFE","2,824.5","3.12%","18,681","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
61,"Quess Corp Limited","QUESS","353","3.1%","3,19,184","miscellaneous","diversified - large",""
62,"Redington (india) Limited","REDINGTON","400.1","3.08%","70,92,777","services","trading",""
63,"Cyient DLM Ltd","CYIENTDLM","893.5","3.01%","10,59,462","aerospace & defence","electronics - components",""
64,"Kopran Limited","KOPRAN","268.59","2.96%","31,37,443","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
65,"63 Moons Technologies Ltd","63MOONS","872.65","2.89%","2,68,694","i.t","computers - software - medium / small",""
66,"Optiemus Infracom Ltd","OPTIEMUS","610","2.89%","3,56,119","telecom","trading",""
67,"Gland Pharma Ltd","GLAND","2,907.8","2.87%","6,78,985","healthcare","pharmaceuticals - indian - formulations",""
68,"Aurobindo Pharma Limited","AUROPHARMA","1,690","2.86%","7,58,827","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
69,"Shyam Metalics & Energy Ltd","SHYAMMETL","1,077","2.77%","4,39,035","metals & mining","steel - large",""
70,"Pitti Engineering Ltd","PITTIENG","1,131.1","2.7%","1,08,599","industrials","engineering",""
71,"Menon Bearings Limited","MENONBE","305.05","2.66%","29,338","auto","auto ancillaries",""
72,"Rishabh Instruments Ltd","RISHABH","778.35","2.61%","2,25,313","industrials","electric equipment",""
73,"Madhya Bharat Agro Products Ltd","MBAPL","163.9","2.55%","18,56,013","chemicals","fertilizers",""
74,"Wockhardt Limited","WOCKPHARMA","2,072.3","2.51%","6,03,193","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
75,"Zydus Lifesciences Ltd","ZYDUSLIFE","1,135.1","2.49%","10,86,138","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
76,"GNG Electronics Ltd","EBGNG","661.65","2.49%","5,29,510","services","trading",""
77,"Finolex Cables Limited","FINCABLES","1,395.8","2.44%","11,23,026","industrials","cables - power",""
78,"Sanstar Ltd","SANSTAR","115.54","2.42%","3,48,381","fmcg","miscellaneous",""
79,"Hindustan Foods Ltd","HNDFDS","620.35","2.29%","79,247","fmcg","diversified - large",""
80,"Electronics Mart India Ltd","EMIL","185.07","2.29%","19,62,550","consumer discretionary","trading",""
81,"Laurus Labs Limited","LAURUSLABS","1,948.1","2.24%","16,45,108","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
82,"Capri Global Capital Limited","CGCL","262.35","2.22%","25,91,024","financials","finance & investments",""
83,"Vishnu Chemicals Limited","VISHNU","709.1","2.19%","87,175","chemicals","chemicals",""
84,"Sakar Healthcare Ltd","SAKAR","1,129.55","2.18%","72,715","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
85,"Seamec Limited","SEAMECLTD","1,738.5","2.17%","34,655","miscellaneous","miscellaneous",""
86,"GMM Pfaudler Ltd","GMMPFAUDLR","1,363.4","2.13%","5,47,415","industrials","engineering",""
87,"Anthem Biosciences Ltd","ANTHEM","927.4","2.09%","4,60,389","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
88,"Aditya Vision Ltd","AVL","633.25","2.04%","68,801","consumer discretionary","trading",""
89,"Bhansali Engineering Polymers Limited","BEPL","127.47","2.04%","11,63,018","energy","petrochemicals",""
90,"City Union Bank Limited","CUB","231.82","2.02%","20,26,127","bank","banks - private sector",""
91,"Kalyani Steels Limited","KSL","970.55","1.95%","3,09,254","metals & mining","steel - medium / small",""
92,"Somany Ceramics Limited","SOMANYCERA","565.85","1.93%","85,673","building materials","ceramics - tiles / sanitaryware",""
93,"Gujarat Themis Biosyn Ltd","GUJTHEM","420.15","1.83%","2,43,862","healthcare","pharmaceuticals - indian - bulk drugs",""
94,"Divi's Laboratories Limited","DIVISLAB","9,323","1.8%","4,94,167","healthcare","pharmaceuticals - indian - bulk drugs",""
95,"Supreme Petrochem Ltd","SPLPETRO","807","1.8%","1,13,748","energy","petrochemicals",""
96,"Vindhya Telelinks Limited","VINDHYATEL","2,632.5","1.78%","49,951","realty","construction",""
97,"Oriental Hotels Limited","ORIENTHOT","141.01","1.75%","4,97,650","services","hotels",""
98,"India Nippon Electricals Limited","INDNIPPON","1,262.1","1.74%","83,039","auto","auto ancillaries",""
99,"Artemis Medicare Services Ltd","ARTEMISMED","330.85","1.72%","2,83,121","healthcare","healthcare",""
100,"Macpower CNC Machines Ltd","MACPOWER","1,921.6","1.69%","94,021","industrials","engineering",""
101,"Eternal Ltd","ETERNAL","322.35","1.69%","2,75,43,143","i.t","miscellaneous",""
102,"Multi Commodity Exchange Of India Limited","MCX","3,265.2","1.68%","15,30,935","financials","miscellaneous",""
103,"Diffusion Engineers Ltd","DIFFNKG","435.85","1.67%","67,958","industrials","electrodes - welding equipment",""
104,"Centum Electronics Limited","CENTUM","4,343.4","1.57%","62,333","aerospace & defence","electronics - components",""
105,"Dr. Lal Path Labs Ltd.","LALPATHLAB","1,924.7","1.53%","3,54,166","healthcare","healthcare",""
106,"Iol Chemicals And Pharmaceuticals Limited","IOLCP","197.49","1.5%","34,78,408","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
107,"Bliss Gvs Pharma Limited","BLISSGVS","690.65","1.49%","1,98,123","healthcare","pharmaceuticals - indian - formulations",""
108,"Welspun Corp Limited","WELCORP","2,460.3","1.48%","16,98,993","industrials","steel - large",""
109,"PVR Inox Ltd","PVRINOX","1,272.7","1.44%","4,25,001","media","entertainment / electronic media software",""
110,"Innova Captab Ltd","INNOVACAP","1,149.5","1.42%","33,762","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
111,"Rswm Limited","RSWM","213.63","1.41%","32,969","textiles","textiles - cotton/blended",""
112,"Welspun Enterprises Limited","WELENT","778.7","1.39%","3,76,786","realty","construction",""
113,"Strides Shasun Limited","STAR","1,200.2","1.38%","2,25,030","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
114,"Jyoti CNC Automation Ltd","JYOTICNC","980.85","1.36%","4,91,500","industrials","engineering",""
115,"Gufic Biosciences Limited","GUFICBIO","425.5","1.35%","34,904","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
116,"Apl Apollo Tubes Limited","APLAPOLLO","2,148.5","1.34%","3,35,858","industrials","steel - large",""
117,"Swan Defence and Heavy Industries Ltd","SWANDEF","2,720.8","1.25%","20,103","transportation","miscellaneous",""
118,"Alivus Life Sciences Ltd","ALIVUS","1,387.8","1.25%","72,107","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
119,"Thejo Engineering Ltd","THEJO","2,183.4","1.23%","10,121","industrials","engineering",""
120,"Engineers India Limited","ENGINERSIN","263.75","1.19%","15,56,919","realty","engineering - turnkey services",""
121,"Manorama Industries Ltd","MANORAMA","1,939.1","1.18%","1,17,554","fmcg","food - processing - indian",""
122,"Sansera Engineering Ltd","SANSERA","4,017.5","1.17%","1,30,544","auto","auto ancillaries",""
123,"Uflex Limited","UFLEX","652.95","1.16%","1,54,087","industrials","packaging",""
124,"Sterlite Technologies Limited","STLTECH","827.45","1.15%","12,99,034","industrials","cables - telephone",""
125,"N R Agarwal Industries Ltd","NRAIL","628.5","1.14%","11,537","building materials","paper",""
126,"Graphite India Limited","GRAPHITE","814.1","1.12%","29,89,509","industrials","electrodes - graphites",""
127,"Shree Pushkar Chemicals & Fertilisers Limited","SHREEPUSHK","512.5","1.09%","69,346","chemicals","dyes and pigments",""
128,"Rane (madras) Limited","RML","1,281.8","1.08%","41,572","auto","auto ancillaries",""
129,"Beml Limited","BEML","2,013.3","1.07%","3,40,871","aerospace & defence","engineering",""
130,"Ipca Laboratories Limited","IPCALAB","1,970.3","1%","5,55,590","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
131,"Godrej Agrovet Ltd","GODREJAGRO","653.6","0.97%","1,17,590","fmcg","food - processing - indian",""
132,"Max Estates Ltd","MAXESTATES","577.6","0.96%","1,13,120","realty","construction",""
133,"Aarti Drugs Limited","AARTIDRUGS","428.35","0.95%","1,20,340","healthcare","pharmaceuticals - indian - bulk drugs",""
134,"Metropolis Healthcare Ltd","METROPOLIS","586.3","0.94%","1,29,759","healthcare","healthcare",""
135,"Va Tech Wabag Limited","WABAG","2,074.8","0.92%","4,38,727","realty","engineering - turnkey services",""
136,"Oriental Aromatics Ltd","OAL","513.5","0.91%","10,254","chemicals","chemicals",""
137,"Allied Blenders & Distillers Ltd","ABDL","653.1","0.86%","5,60,511","fmcg","breweries & distilleries",""
138,"Ceigall India Ltd","CEIGALL","390","0.83%","2,83,457","realty","construction",""
139,"E2E Networks Ltd","E2E","604.4","0.78%","4,63,578","i.t","computers - software - medium / small",""
140,"West Coast Paper Mills Limited","WSTCSTPAPR","716.45","0.77%","2,75,342","building materials","paper",""
141,"PTC Industries Ltd","PTCIL","22,670","0.76%","15,271","industrials","castings & forgings",""
142,"Kabra Extrusion Technik Limited","KABRAEXTRU","632.75","0.74%","1,62,222","industrials","engineering",""
143,"Wheels India Limited","WHEELS","2,124.6","0.67%","1,31,049","auto","auto ancillaries",""
144,"Avalon Technologies Ltd","AVALON","2,230","0.63%","3,64,163","consumer discretionary","electronics - components",""
145,"Stove Kraft Ltd","STOVEKRAFT","833.65","0.62%","64,463","consumer discretionary","domestic appliances",""
146,"Kalpataru Projects International Ltd","KPIL","1,399.3","0.6%","2,31,336","realty","transmisson line towers / equipment",""
147,"Sundram Fasteners Limited","SUNDRMFAST","1,226.7","0.56%","81,682","auto","auto ancillaries",""
148,"Rossell Techsys Ltd","ROSSTECH","1,357.2","0.54%","7,58,996","aerospace & defence","engineering",""
149,"Sambhv Steel Tubes Ltd","SAMBHV","129.09","0.54%","8,99,777","metals & mining","steel - medium / small",""
150,"Sai Life Sciences Ltd","SAILIFE","1,545.7","0.43%","4,43,745","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
151,"Kovai Medical Center & Hospital Ltd","KOVAI","6,112","0.39%","3,567","healthcare","healthcare",""
152,"Bosch Limited","BOSCHLTD","47,735","0.38%","17,379","auto","auto ancillaries",""
153,"Hindustan Oil Exploration Company Limited","HINDOILEXP","180.95","0.28%","7,01,322","energy","oil drilling / allied services",""
154,"Glenmark Pharmaceuticals Limited","GLENMARK","2,416","0.25%","2,27,416","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
155,"GPT Healthcare Ltd","GPTHEALTH","163.61","0.19%","67,940","healthcare","healthcare",""
156,"Tourism Finance Corporation Of India Limited","TFCILTD","139.06","0.18%","1,20,32,665","financials","finance - term-lending institutions",""
157,"Fine Organic Industries Ltd","FINEORG","5,202","0.17%","11,277","chemicals","chemicals",""
158,"Jk Paper Limited","JKPAPER","418.05","0.17%","18,32,851","building materials","paper",""
159,"ASK Automotive Ltd","ASKAUTOLTD","618.9","0.16%","1,54,115","auto","auto ancillaries",""
160,"Sky Gold Ltd","SKYGOLD","793.3","0.09%","4,43,143","consumer discretionary","diamond cutting / jewellery",""
161,"Tasty Bite Eatables Ltd","TASTYBITE","9,944","0.08%","2,447","fmcg","food - processing - indian",""
162,"Anand Rathi Wealth Ltd","ANANDRATHI","2,207.4","0.05%","1,40,743","financials","finance & investments",""
163,"Vardhman Special Steels Limited","VSSL","406.05","0.05%","4,75,918","metals & mining","steel - medium / small",""
164,"Rbl Bank Limited","RBLBANK","404.15","0.04%","22,54,458","bank","banks - private sector",""
165,"Kapston Services Ltd","KAPSTON","577.3","0.03%","50,003","miscellaneous","miscellaneous",""
166,"TCPL Packaging Ltd","TCPLPACK","3,863.4","0.01%","7,005","industrials","packaging",""
167,"Deep Industries Ltd","DEEPINDS","734.7","-0.06%","2,19,051","energy","oil drilling / allied services",""
168,"Garware Technical Fibres Ltd","GARFIBRES","799.7","-0.11%","18,980","textiles","textiles - products",""
169,"Cupid Limited","CUPID","279.15","-0.3%","59,22,526","fmcg","personal care - indian",""
170,"Tamilnadu Petroproducts Limited","TNPETRO","127.34","-0.3%","9,02,146","energy","petrochemicals",""
171,"Matrimony.com Ltd","MATRIMONY","530.8","-0.49%","32,549","miscellaneous","miscellaneous",""
172,"Steel Strips Wheels Limited","SSWL","348.25","-0.51%","4,40,929","auto","auto ancillaries",""
173,"Arrow Greentech Limited","ARROWGREEN","902.5","-0.55%","57,165","plastic products","plastics products",""
174,"Varroc Engineering Ltd","VARROC","846.15","-0.59%","1,99,305","auto","auto ancillaries",""
175,"Commercial Syn Bags Ltd","COMSYN","293","-0.59%","1,17,045","industrials","packaging",""
176,"Dcb Bank Limited","DCBBANK","218.51","-0.65%","9,11,516","bank","banks - private sector",""
177,"Akums Drugs & Pharmaceuticals Ltd","AKUMS","766.7","-0.69%","2,16,030","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
178,"Heritage Foods Limited","HERITGFOOD","405.45","-0.78%","3,51,623","fmcg","food - processing - indian",""
179,"Texmaco Infrastructure & Holdings Limited","TEXINFRA","115.13","-0.96%","51,383","realty","construction",""
180,"The Ruby Mills Limited","RUBYMILLS","457.6","-0.97%","25,178","textiles","textiles - composite",""
181,"Yuken India Ltd","YUKEN","1,123.1","-1.04%","21,238","industrials","engineering",""
182,"Spectrum Electrical Industries Ltd","SPECTRUM","3,050.4","-1.08%","9,635","industrials","electric equipment",""
183,"Foseco India Limited","FOSECOIND","6,765.5","-1.18%","2,92,524","chemicals","chemicals",""
184,"Modison Ltd","MODISONLTD","449.5","-1.22%","53,735","industrials","electric equipment",""
185,"Bhartiya International Limited","BIL","1,023.45","-1.24%","7,093","consumer discretionary","leather / leather products",""
186,"RACL Geartech Ltd","RACLGEAR","1,829","-1.26%","1,33,875","auto","auto ancillaries",""
187,"Eimco Elecon (india) Limited","EIMCOELECO","2,247.4","-1.3%","17,329","industrials","engineering",""
188,"eMudhra Ltd","EMUDHRA","633.35","-1.39%","47,59,356","i.t","computers - software - medium / small",""
189,"One 97 Communications Ltd","PAYTM","1,763","-1.51%","40,85,951","i.t","miscellaneous",""
190,"Raymond Limited","RAYMOND","978.2","-1.58%","36,34,141","transportation","transport - airlines",""
191,"ACME Solar Holdings Ltd","ACMESOLAR","411.3","-1.6%","11,67,673","realty","engineering - turnkey services",""
192,"Parag Milk Foods Limited","PARAGMILK","264.6","-1.67%","26,97,229","fmcg","food - processing - indian",""
193,"Aegis Logistics Ltd","AEGISLOG","1,353.8","-1.98%","4,63,629","services","trading",""
194,"Shanthi Gears Limited","SHANTIGEAR","677.6","-2.02%","65,634","industrials","engineering",""
195,"Dynamatic Technologies Limited","DYNAMATECH","11,819","-2.14%","22,275","aerospace & defence","engineering",""
196,"Prabha Energy Ltd","PRABHA","220.77","-2.56%","1,25,409","energy","oil drilling / allied services",""
197,"Hatsun Agro Product Limited","HATSUN","1,181.6","-2.67%","46,126","fmcg","food - processing - indian",""
198,"Asian Hotels (north) Limited","ASIANHOTNR","375.8","-3.28%","8,769","services","hotels",""
199,"Antelopus Selan Energy Ltd","ANTELOPUS","1,130.85","-3.42%","10,30,058","energy","oil drilling / allied services",""
200,"Diamond Power Infrastructure Ltd","DIACABS","376.05","-4.74%","7,38,512","industrials","cables - power",""
201,"Standard Enginnering Technology Ltd","SETL","401.45","-4.99%","28,42,075","industrials","engineering",""
