"Sr.","Stock Name","Symbol","close","%_change","volume","sector","industry","Add Column"
1,"Tega Industries Ltd","TEGA","1,920","11.82%","39,09,542","industrials","engineering",""
2,"Share India Securities Ltd","SHAREINDIA","218.44","11.42%","2,89,24,428","financials","finance & investments",""
3,"Venus Pipes & Tubes Ltd","VENUSPIPES","2,131.7","9.99%","12,96,328","metals & mining","steel - medium / small",""
4,"Yatharth Hospital & Trauma Care Services Ltd","YATHARTH","1,072.4","9.17%","36,79,332","healthcare","healthcare",""
5,"Gujarat Narmada Valley Fertilizers And Chemicals Limited","GNFC","584.85","8.36%","82,50,274","chemicals","chemicals",""
6,"Kross Ltd","KROSS","242.05","7.17%","17,45,433","auto","auto ancillaries",""
7,"Syrma SGS Technology Ltd","SYRMA","1,617.7","7.05%","91,82,371","consumer discretionary","electronics - components",""
8,"Gocl Corporation Limited","GOCLCORP","456.15","6.48%","11,22,429","miscellaneous","diversified - medium / small",""
9,"Dolphin Offshore Enterprises (India) Ltd","DOLPHIN","673.7","6.08%","54,699","energy","oil drilling / allied services",""
10,"Ram Ratna Wires Ltd","RAMRAT","557.6","6.05%","3,26,151","metals & mining","mining / minerals / metals",""
11,"Quadrant Future Tek Ltd","QUADFUTURE","521.5","6.01%","22,51,310","industrials","cables - power",""
12,"Ratnaveer Precision Engineering Ltd","RATNAVEER","303.85","5.96%","2,13,39,407","metals & mining","steel - medium / small",""
13,"Vintage Coffee & Beverages Ltd","VINCOFE","175.96","5.2%","22,56,156","consumer discretionary","trading",""
14,"Jash Engineering Ltd","JASH","514","5.13%","1,59,181","industrials","engineering",""
15,"Morepen Laboratories Limited","MOREPENLAB","120.56","5.08%","2,75,13,682","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
16,"Tribhovandas Bhimji Zaveri Limited","TBZ","574.85","5%","2,68,358","consumer discretionary","diamond cutting / jewellery",""
17,"Bhagyanagar India","BHAGYANGR","446.5","5%","66,357","power & utilities","power generation and supply",""
18,"Valiant Organics Ltd","VALIANTORG","408.45","5%","79,412","chemicals","chemicals",""
19,"Mcnally Bharat Engineering Company Limited","MBECL","382.47","5%","2,294","realty","engineering - turnkey services",""
20,"Bodal Chemicals Limited","BODALCHEM","182.13","5%","23,62,229","chemicals","dyes and pigments",""
21,"Birla Cable Limited","BIRLACABLE","401.65","4.99%","4,31,704","industrials","cables - telephone",""
22,"Bhageria Industries Limited","BHAGERIA","318.85","4.99%","65,522","chemicals","dyes and pigments",""
23,"Stel Holdings Limited","STEL","631.9","4.96%","5,198","financials","finance & investments",""
24,"Northern ARC Capital Ltd","NORTHARC","310.55","4.95%","23,58,970","financials","finance & investments",""
25,"Sigma Advanced System Ltd","SIGMAADV","857.4","4.94%","2,92,634","aerospace & defence","electronics - components",""
26,"Omaxe Limited","OMAXE","120.76","4.94%","7,55,723","realty","construction",""
27,"Action Construction Equipment Limited","ACE","1,205.6","4.86%","6,85,925","industrials","engineering",""
28,"Vijaya Diagnostic Centre Ltd","VIJAYA","1,506.1","4.71%","1,96,070","healthcare","healthcare",""
29,"Quality Power Electrical Equipments Ltd","QPOWER","1,489.8","4.7%","7,28,624","industrials","electric equipment",""
