"Sr.","Stock Name","Symbol","close","%_change","volume","sector","industry","Add Column"
78,"Neogen Chemicals Ltd","NEOGEN","2,488.4","3.87%","3,55,984","chemicals","chemicals",""
79,"Sona BLW Precision Forgings Ltd","SONACOMS","808","3.87%","42,01,864","auto","auto ancillaries",""
80,"Menon Bearings Limited","MENONBE","316.85","3.87%","88,392","auto","auto ancillaries",""
81,"TBO Tek Ltd","TBOTEK","1,710.6","3.82%","2,12,106","i.t","travel agencies",""
82,"Acutaas Chemicals Ltd","ACUTAAS","3,440.3","3.78%","5,21,496","healthcare","pharmaceuticals - indian - bulk drugs",""
83,"Mps Limited","MPSLTD","2,667.3","3.73%","8,970","i.t","computers - software - medium / small",""
84,"Vadilal Industries Limited","VADILALIND","7,362","3.68%","19,386","fmcg","food - processing - indian",""
85,"Radico Khaitan Limited","RADICO","4,535.4","3.55%","3,71,544","fmcg","breweries & distilleries",""
86,"Sai Life Sciences Ltd","SAILIFE","1,600.5","3.55%","8,67,960","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
87,"Tatva Chintan Pharma Chem Ltd","TATVA","1,770.2","3.54%","91,966","chemicals","chemicals",""
88,"Stel Holdings Limited","STEL","654.2","3.53%","12,670","financials","finance & investments",""
89,"Vijaya Diagnostic Centre Ltd","VIJAYA","1,558.9","3.51%","2,78,137","healthcare","healthcare",""
90,"Man Industries (india) Limited","MANINDS","851.55","3.47%","11,65,509","metals & mining","steel - medium / small",""
91,"Kopran Limited","KOPRAN","277.6","3.35%","24,34,887","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
92,"Rane (madras) Limited","RML","1,324.5","3.33%","89,211","auto","auto ancillaries",""
93,"Shanthi Gears Limited","SHANTIGEAR","700.05","3.31%","90,105","industrials","engineering",""
94,"Kalpataru Projects International Ltd","KPIL","1,445.5","3.3%","2,24,766","realty","transmisson line towers / equipment",""
95,"Orchid Pharma Ltd","ORCHPHARMA","989.7","3.3%","56,527","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
96,"Rswm Limited","RSWM","220.4","3.17%","1,18,034","textiles","textiles - cotton/blended",""
97,"Capri Global Capital Limited","CGCL","270.65","3.16%","63,67,147","financials","finance & investments",""
98,"Heritage Foods Limited","HERITGFOOD","418.1","3.12%","5,67,662","fmcg","food - processing - indian",""
99,"Quality Power Electrical Equipments Ltd","QPOWER","1,536.1","3.11%","2,98,373","industrials","electric equipment",""
100,"Alivus Life Sciences Ltd","ALIVUS","1,430.8","3.1%","3,04,330","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
101,"Healthcare Global Enterprises Limited","HCG","708.25","3.07%","82,273","healthcare","healthcare",""
102,"Til Limited","TIL","257.51","3.03%","1,45,867","industrials","engineering",""
103,"Jk Paper Limited","JKPAPER","430.6","3%","5,72,207","building materials","paper",""
104,"Rbl Bank Limited","RBLBANK","415.9","2.91%","37,92,806","bank","banks - private sector",""
105,"Iol Chemicals And Pharmaceuticals Limited","IOLCP","203.15","2.87%","46,95,376","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
106,"Max Estates Ltd","MAXESTATES","594","2.84%","2,01,561","realty","construction",""
107,"Castrol India Limited","CASTROLIND","197.14","2.83%","96,15,337","chemicals","chemicals",""
108,"Prime Focus Limited","PFOCUS","344.35","2.81%","53,44,944","realty","miscellaneous",""
