"Sr.","Stock Name","Symbol","close","%_change","volume","sector","industry","Add Column"
167,"Indegene Ltd","INDGN","600.1","1.41%","4,69,267","healthcare","miscellaneous",""
168,"Eternal Ltd","ETERNAL","326.85","1.4%","1,76,96,853","i.t","miscellaneous",""
169,"63 Moons Technologies Ltd","63MOONS","884.75","1.39%","2,31,331","i.t","computers - software - medium / small",""
170,"Jash Engineering Ltd","JASH","521.15","1.39%","1,66,601","industrials","engineering",""
171,"Aegis Vopak Terminals Ltd","AEGISVOPAK","314.95","1.37%","23,42,046","transportation","miscellaneous",""
172,"Voltamp Transformers Limited","VOLTAMP","10,879","1.34%","19,415","industrials","electric equipment",""
173,"Pitti Engineering Ltd","PITTIENG","1,146.1","1.33%","1,57,561","industrials","engineering",""
174,"Unimech Aerospace and Manufacturing Ltd","UNIMECH","1,591.3","1.32%","1,89,186","aerospace & defence","engineering",""
175,"Glenmark Pharmaceuticals Limited","GLENMARK","2,447.4","1.3%","5,45,520","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
176,"Quadrant Future Tek Ltd","QUADFUTURE","528.2","1.28%","16,47,848","industrials","cables - power",""
177,"Rossell Techsys Ltd","ROSSTECH","1,374.3","1.26%","9,11,139","aerospace & defence","engineering",""
178,"Asian Energy Services Ltd","ASIANENE","492.25","1.24%","2,32,493","energy","oil drilling / allied services",""
179,"MSTC Ltd","MSTCLTD","724.05","1.23%","2,13,012","i.t","trading",""
180,"Godrej Agrovet Ltd","GODREJAGRO","661.6","1.22%","1,61,090","fmcg","food - processing - indian",""
181,"Kapston Services Ltd","KAPSTON","584.3","1.21%","40,257","miscellaneous","miscellaneous",""
182,"Tega Industries Ltd","TEGA","1,943","1.2%","11,44,337","industrials","engineering",""
183,"Somany Ceramics Limited","SOMANYCERA","572.6","1.19%","1,03,703","building materials","ceramics - tiles / sanitaryware",""
184,"Deep Industries Ltd","DEEPINDS","743.35","1.18%","1,37,404","energy","oil drilling / allied services",""
185,"Paradeep Phosphates Ltd","PARADEEP","155.62","1.18%","23,14,244","chemicals","fertilizers",""
186,"SML Mahindra Ltd","SMLMAH","6,292.5","1.16%","53,178","auto","automobiles - lcvs / hcvs",""
187,"Bhansali Engineering Polymers Limited","BEPL","128.95","1.16%","8,34,218","energy","petrochemicals",""
188,"Welspun Living Ltd","WELSPUNLIV","214.66","1.14%","35,13,969","textiles","textiles - products",""
189,"Finolex Cables Limited","FINCABLES","1,411.2","1.1%","10,61,919","industrials","cables - power",""
190,"Vindhya Telelinks Limited","VINDHYATEL","2,660","1.04%","35,119","realty","construction",""
191,"Sigma Advanced System Ltd","SIGMAADV","866.1","1.01%","2,55,004","aerospace & defence","electronics - components",""
192,"Anand Rathi Wealth Ltd","ANANDRATHI","2,229.4","1%","8,80,377","financials","finance & investments",""
193,"Uflex Limited","UFLEX","659.45","1%","69,585","industrials","packaging",""
194,"Engineers India Limited","ENGINERSIN","266.35","0.99%","17,32,303","realty","engineering - turnkey services",""
195,"Northern ARC Capital Ltd","NORTHARC","313.6","0.98%","10,62,365","financials","finance & investments",""
196,"Swan Defence and Heavy Industries Ltd","SWANDEF","2,746.4","0.94%","30,702","transportation","miscellaneous",""
197,"Matrimony.com Ltd","MATRIMONY","535.55","0.89%","5,229","miscellaneous","miscellaneous",""
198,"Hindustan Foods Ltd","HNDFDS","625.7","0.86%","57,146","fmcg","diversified - large",""
199,"Aarti Drugs Limited","AARTIDRUGS","431.8","0.81%","88,332","healthcare","pharmaceuticals - indian - bulk drugs",""
200,"Thejo Engineering Ltd","THEJO","2,199.7","0.75%","6,505","industrials","engineering",""
201,"Gujarat Narmada Valley Fertilizers And Chemicals Limited","GNFC","588.9","0.69%","13,59,872","chemicals","chemicals",""
202,"Wockhardt Limited","WOCKPHARMA","2,086.1","0.67%","5,57,349","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
203,"BLS E-Services Ltd","BLSE","316.5","0.64%","2,24,022","i.t","computers - software - medium / small",""
204,"PTC Industries Ltd","PTCIL","22,805","0.6%","28,545","industrials","castings & forgings",""
205,"Granules India Limited","GRANULES","875.5","0.59%","12,00,729","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
206,"Aditya Vision Ltd","AVL","636.95","0.58%","1,47,990","consumer discretionary","trading",""
207,"Divi's Laboratories Limited","DIVISLAB","9,375","0.56%","6,91,534","healthcare","pharmaceuticals - indian - bulk drugs",""
208,"Kddl Limited","KDDL","3,858.4","0.54%","7,233","consumer discretionary","miscellaneous",""
209,"E2E Networks Ltd","E2E","607.65","0.54%","5,95,972","i.t","computers - software - medium / small",""
210,"Aym Syntex Limited","AYMSYNTEX","283.15","0.43%","33,688","textiles","textiles - processing",""
211,"Aether Industries Ltd","AETHER","1,630","0.41%","94,450","chemicals","chemicals",""
212,"Shivalik Bimetal Controls Ltd","SBCL","1,096.2","0.4%","1,06,816","metals & mining","mining / minerals / metals",""
213,"Tourism Finance Corporation Of India Limited","TFCILTD","139.62","0.4%","1,21,65,117","financials","finance - term-lending institutions",""
214,"Shree Pushkar Chemicals & Fertilisers Limited","SHREEPUSHK","514.3","0.35%","44,521","chemicals","dyes and pigments",""
215,"Laurus Labs Limited","LAURUSLABS","1,954","0.3%","26,55,873","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
216,"Morepen Laboratories Limited","MOREPENLAB","120.9","0.28%","1,68,16,327","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
217,"Standard Enginnering Technology Ltd","SETL","402.35","0.22%","9,87,119","industrials","engineering",""
218,"Sanstar Ltd","SANSTAR","115.7","0.14%","1,68,121","fmcg","miscellaneous",""
219,"Oriental Aromatics Ltd","OAL","514.15","0.13%","22,259","chemicals","chemicals",""
220,"Sundram Fasteners Limited","SUNDRMFAST","1,228.2","0.12%","2,37,526","auto","auto ancillaries",""
221,"Anthem Biosciences Ltd","ANTHEM","928.5","0.12%","54,90,000","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
222,"Solara Active Pharma Sciences Ltd","SOLARA","742.05","0.05%","2,60,108","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
223,"Eimco Elecon (india) Limited","EIMCOELECO","2,248.4","0.04%","15,042","industrials","engineering",""
224,"Bhagyanagar India","BHAGYANGR","446.7","0.04%","3,29,482","power & utilities","power generation and supply",""
225,"Raymond Limited","RAYMOND","978","-0.02%","20,69,600","transportation","transport - airlines",""
226,"Fine Organic Industries Ltd","FINEORG","5,199","-0.06%","45,907","chemicals","chemicals",""
227,"Redington (india) Limited","REDINGTON","399.85","-0.06%","1,08,09,796","services","trading",""
228,"Dcb Bank Limited","DCBBANK","218.35","-0.07%","14,45,096","bank","banks - private sector",""
229,"Multi Commodity Exchange Of India Limited","MCX","3,260","-0.16%","21,97,423","financials","miscellaneous",""
230,"India Nippon Electricals Limited","INDNIPPON","1,260","-0.17%","32,358","auto","auto ancillaries",""
231,"Centum Electronics Limited","CENTUM","4,333.3","-0.23%","41,693","aerospace & defence","electronics - components",""
232,"Asian Hotels (north) Limited","ASIANHOTNR","374.9","-0.24%","25,728","services","hotels",""
233,"Vardhman Special Steels Limited","VSSL","404.7","-0.33%","1,54,256","metals & mining","steel - medium / small",""
234,"Spectrum Electrical Industries Ltd","SPECTRUM","3,039.6","-0.35%","4,924","industrials","electric equipment",""
235,"Hindustan Oil Exploration Company Limited","HINDOILEXP","180.29","-0.36%","5,25,134","energy","oil drilling / allied services",""
236,"Maharashtra Seamless Limited","MAHSEAMLES","717.55","-0.37%","1,77,765","metals & mining","steel - medium / small",""
237,"Quess Corp Limited","QUESS","351.65","-0.38%","7,99,867","miscellaneous","diversified - large",""
238,"Manoj Vaibhav Gems N Jewellers Ltd","MVGJL","214.47","-0.42%","5,09,506","consumer discretionary","diamond cutting / jewellery",""
239,"Mangalam Cement Limited","MANGLMCEM","1,030.8","-0.43%","36,083","building materials","cement - north india",""
240,"Ram Ratna Wires Ltd","RAMRAT","554.75","-0.51%","1,45,032","metals & mining","mining / minerals / metals",""
241,"Stove Kraft Ltd","STOVEKRAFT","829.3","-0.52%","75,158","consumer discretionary","domestic appliances",""
242,"N R Agarwal Industries Ltd","NRAIL","625.2","-0.53%","18,686","building materials","paper",""
243,"Kiri Industries Limited","KIRIINDUS","531.75","-0.69%","3,84,478","chemicals","dyes and pigments",""
244,"Seamec Limited","SEAMECLTD","1,726.3","-0.7%","27,243","miscellaneous","miscellaneous",""
245,"Windlas Biotech Ltd","WINDLAS","1,109.45","-0.73%","71,125","healthcare","pharmaceuticals - indian - formulations",""
246,"Rpg Life Sciences Limited","RPGLIFE","2,802.4","-0.78%","17,373","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
247,"Ig Petrochemicals Limited","IGPL","550.15","-0.79%","52,110","chemicals","chemicals",""
248,"Allied Blenders & Distillers Ltd","ABDL","647.6","-0.84%","4,37,696","fmcg","breweries & distilleries",""
249,"Vintage Coffee & Beverages Ltd","VINCOFE","174.19","-1.01%","16,35,637","consumer discretionary","trading",""
250,"Sterlite Technologies Limited","STLTECH","818.8","-1.05%","17,35,063","industrials","cables - telephone",""
251,"Kross Ltd","KROSS","239.19","-1.18%","13,24,987","auto","auto ancillaries",""
252,"Dolphin Offshore Enterprises (India) Ltd","DOLPHIN","665.5","-1.22%","27,025","energy","oil drilling / allied services",""
253,"Tamilnadu Petroproducts Limited","TNPETRO","125.73","-1.26%","8,48,214","energy","petrochemicals",""
254,"Bliss Gvs Pharma Limited","BLISSGVS","681.85","-1.27%","1,68,694","healthcare","pharmaceuticals - indian - formulations",""
255,"Foseco India Limited","FOSECOIND","6,677.5","-1.3%","44,756","chemicals","chemicals",""
256,"Ind-swift Laboratories Limited","INDSWFTLAB","373.25","-1.32%","3,99,757","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
257,"Arrow Greentech Limited","ARROWGREEN","889.25","-1.47%","50,512","plastic products","plastics products",""
258,"Ratnaveer Precision Engineering Ltd","RATNAVEER","299.25","-1.51%","98,60,141","metals & mining","steel - medium / small",""
259,"Kalyani Steels Limited","KSL","955.05","-1.6%","67,867","metals & mining","steel - medium / small",""
260,"Novartis India Ltd","NOVARTIND","2,046.8","-1.7%","76,794","healthcare","pharmaceuticals - multinational",""
261,"Rishabh Instruments Ltd","RISHABH","764.7","-1.75%","72,318","industrials","electric equipment",""
262,"Renaissance Global Ltd","RGL","153.4","-1.97%","3,52,268","consumer discretionary","diamond cutting / jewellery",""
263,"Gocl Corporation Limited","GOCLCORP","446.1","-2.2%","5,22,016","miscellaneous","diversified - medium / small",""
264,"Antelopus Selan Energy Ltd","ANTELOPUS","1,104.85","-2.3%","5,55,265","energy","oil drilling / allied services",""
265,"Diamond Power Infrastructure Ltd","DIACABS","366.8","-2.46%","7,59,461","industrials","cables - power",""
266,"eMudhra Ltd","EMUDHRA","613.45","-3.14%","12,72,884","i.t","computers - software - medium / small",""
267,"Optiemus Infracom Ltd","OPTIEMUS","590.1","-3.26%","1,90,406","telecom","trading",""
268,"RACL Geartech Ltd","RACLGEAR","1,760.9","-3.72%","49,043","auto","auto ancillaries",""
269,"Ceigall India Ltd","CEIGALL","373.75","-4.17%","3,07,512","realty","construction",""
